num_removed_edges,num_fake_edges,num_raw_edges,sample,calgo_str,gen_str,max_k,alpha_dm,num_anonymized_entities,info_loss,info_loss_args_str,max_dist,num_anonymized_fake_entities,enforcer,num_anonymized_edges,za,anonymized_attribute_anonymity,min_k,anonymized_anonymity,enforcer_str,gen,handler_str,alpha_adm,anonymized_degree_anonymity,range_k,data,calgo,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
1,13,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,26588,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,km,0,6.435484270191331e-06,1.2870968540382661e-05,0.0,6.435484270191331e-06,1005,0
1,13,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,26588,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,km,0,6.435484270191331e-06,1.2870968540382661e-05,0.0,6.435484270191331e-06,1005,0
9,649,26576,-1,km#mean,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,27216,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,1,0.00031880399000024545,0.0006376079800004909,0.0,0.00031880399000024545,1005,0
9,1103,26576,-1,km#mean,"te#2,5,1",5,0.5,1005,adm,"0.50,0.50",,0,sr,27670,,1,2,1,sr,te,n,0.5,1,1,email,km,0,0.0005440459394569414,0.0010880918789138829,0.0,0.0005440459394569414,1005,0
10,17,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,26583,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,km,0,7.425558773297689e-06,1.4851117546595378e-05,0.0,7.425558773297689e-06,1005,0
10,17,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,26583,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,km,0,7.425558773297689e-06,1.4851117546595378e-05,0.0,7.425558773297689e-06,1005,0
10,1142,26576,-1,km#min,"te#2,5,1",5,0.5,1005,adm,"0.50,0.50",,0,sr,27708,,1,2,1,sr,te,n,0.5,1,1,email,km,0,0.0005638474295190696,0.0011276948590381393,0.0,0.0005638474295190696,1005,0
11,691,26576,-1,km#min,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,27256,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,2,0.00034009059181703253,0.0006801811836340651,0.0,0.00034009059181703253,1005,0
13,66,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,26629,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,km,1,3.613771936338212e-05,7.227543872676424e-05,0.0,3.613771936338212e-05,1005,0
13,66,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,26629,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,km,1,3.613771936338212e-05,7.227543872676424e-05,0.0,3.613771936338212e-05,1005,0
15,630,26576,-1,km#min,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,27191,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,1,0.00031038835672384126,0.0006207767134476825,0.0,0.00031038835672384126,1005,0
16,580,26576,-1,km#mean,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,27140,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,0,0.0002851414568946298,0.0005702829137892596,0.0,0.0002851414568946298,1005,0
18,680,26576,-1,km#mean,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,27238,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,2,0.0003361302938046062,0.0006722605876092124,0.0,0.0003361302938046062,1005,0
33,630,26576,-1,km#min,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,27173,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,0,0.00030494294695675666,0.0006098858939135133,0.0,0.00030494294695675666,1005,0
36,9,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,26549,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,km,1,1.5346154798148565e-05,3.069230959629713e-05,0.0,1.5346154798148565e-05,1005,0
36,9,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,26549,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,km,1,1.5346154798148565e-05,3.069230959629713e-05,0.0,1.5346154798148565e-05,1005,0
59,31451,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,57968,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,vac,2,0.0876755879451358,0.024794435781292496,0.15055674010897882,0.0876755879451358,1005,0
59,31451,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,57968,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,vac,2,0.0876755879451358,0.024794435781292496,0.15055674010897882,0.0876755879451358,1005,0
61,1886,26576,-1,km#min,"te#5,50,5",50,0.5,1005,adm,"0.50,0.50",,0,sr,28401,,1,5,1,sr,te,n,0.5,1,5,email,km,0,0.0009281948466622129,0.0018563896933244258,0.0,0.0009281948466622129,1005,0
70,9081,26576,-1,vac,"te#5,50,5",50,0.5,1005,adm,"0.50,0.50",,0,sr,35587,,2,5,1,sr,te,n,0.5,1,5,email,vac,0,0.022634941850802656,0.007364174154105098,0.037905709547500714,0.022634941850802656,1005,0
70,16430,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,42936,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,0,0.04587778944651302,0.012959085171159138,0.07879649372186685,0.04587778944651302,1005,0
78,3237,26576,-1,vac,"te#2,5,1",5,0.5,1005,adm,"0.50,0.50",,0,sr,29735,,2,2,1,sr,te,n,0.5,1,1,email,vac,0,0.0027596912381942394,0.0031028934927353436,0.0024164889836531607,0.0027596912381942394,1005,0
80,7201,26576,-1,vac,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,33697,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,vac,0,0.005928601484404555,0.0069057696591668435,0.004951433309642257,0.005928601484404555,1005,0
90,4504,26576,-1,km#max,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,30990,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,1,0.0022068760674240754,0.004413752134848151,0.0,0.0022068760674240754,1005,0
93,4850,26576,-1,km#max,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,31333,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,2,0.0023776639192099208,0.0047553278384198415,0.0,0.0023776639192099208,1005,0
98,5392,26576,-1,km#max,"te#2,5,1",5,0.5,1005,adm,"0.50,0.50",,0,sr,31870,,1,2,1,sr,te,n,0.5,1,1,email,km,0,0.0026385485507784455,0.005277097101556891,0.0,0.0026385485507784455,1005,0
99,35569,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,62046,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,vac,0,0.09554183595172701,0.028326031533872895,0.1627576403695806,0.09554183595172701,1005,0
99,35569,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,62046,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,vac,0,0.09554183595172701,0.028326031533872895,0.1627576403695806,0.09554183595172701,1005,0
99,35569,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,62046,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,vac,0,0.09554183595172701,0.028326031533872895,0.1627576403695806,0.09554183595172701,1005,0
110,6862,26576,-1,vac,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,33328,2.0,2,2,1,sr,zipf,n,0.5,1,1,email,vac,2,0.00604652642968524,0.006549342838048555,0.005543710021321954,0.00604652642968524,1005,0
111,51,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,26516,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,km,2,5.494913492240294e-05,0.00010989826984480588,0.0,5.494913492240294e-05,1005,0
111,51,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,26516,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,km,2,5.494913492240294e-05,0.00010989826984480588,0.0,5.494913492240294e-05,1005,0
127,51,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,26500,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,km,2,5.3959060419296576e-05,0.00010791812083859315,0.0,5.3959060419296576e-05,1005,0
127,51,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,26500,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,km,2,5.3959060419296576e-05,0.00010791812083859315,0.0,5.3959060419296576e-05,1005,0
147,6702,26576,-1,vac,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,33131,2.0,2,2,1,sr,zipf,n,0.5,1,1,email,vac,1,0.005655942038209789,0.006431523972178896,0.0048803601042406945,0.005655942038209789,1005,0
163,2336,26576,-1,km#mean,"te#5,50,5",50,0.5,1005,adm,"0.50,0.50",,0,sr,28749,,1,5,1,sr,te,n,0.5,1,5,email,km,0,0.0011455162000940588,0.0022910324001881176,0.0,0.0011455162000940588,1005,0
166,44735,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,71145,2.0,5,5,1,ms#0.75,zipf,n,0.5,1,5,email,vac,0,0.1026224244802995,0.03722779139130214,0.16801705756929647,0.1026224244802995,1005,0
184,26163,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,52555,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,2,0.17607301092264313,0.011610603697928273,0.340535418147359,0.17607301092264313,1005,0
185,33237,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,59628,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,vac,2,0.09561517218456414,0.02586668646815668,0.16536365790097127,0.09561517218456414,1005,0
196,4658,26576,-1,km#max,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,31038,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,km,0,0.002304893443231605,0.00460978688646321,0.0,0.002304893443231605,1005,0
252,50908,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,77232,2.0,5,5,1,ms#0.75,zipf,n,0.5,1,5,email,vac,2,0.1101933120467317,0.042940521274225756,0.1774461028192373,0.1101933120467317,1005,0
280,15218,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,41514,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,0,0.042594560954997626,0.01193633820945026,0.073252783700545,0.042594560954997626,1005,0
376,57613,26576,-1,hdbscan#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,83813,2.0,51,5,1,ms#0.75,zipf,n,0.5,1,5,email,hdbscan,2,0.18638417719504838,0.04320190094304593,0.3295664534470503,0.18638417719504838,1005,0
487,31581,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,57670,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,2,0.11215797345893144,0.022562807851290775,0.20175313906657094,0.11215797345893144,1005,0
488,40399,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,66487,2.0,5,5,1,ms#0,zipf,n,0.5,1,5,email,vac,1,0.11337894748008379,0.03178040147521094,0.19497749348495563,0.11337894748008379,1005,0
488,40399,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,66487,2.0,5,5,1,ms#0.25,zipf,n,0.5,1,5,email,vac,1,0.11337894748008379,0.03178040147521094,0.19497749348495563,0.11337894748008379,1005,0
488,40399,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,66487,2.0,5,5,1,ms#0.75,zipf,n,0.5,1,5,email,vac,1,0.11337894748008379,0.03178040147521094,0.19497749348495563,0.11337894748008379,1005,0
488,40399,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,66487,2.0,5,5,1,sr,zipf,n,0.5,1,5,email,vac,1,0.11337894748008379,0.03178040147521094,0.19497749348495563,0.11337894748008379,1005,0
513,54204,26576,-1,hdbscan#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,80267,2.0,29,5,1,ms#0.75,zipf,n,0.5,1,5,email,hdbscan,1,0.17933304338294254,0.040163362293012386,0.31850272447287453,0.17933304338294254,1005,0
577,54147,26576,-1,km#max,"te#5,50,5",50,0.5,1005,adm,"0.50,0.50",,0,sr,80146,,1,5,1,sr,te,n,0.5,1,5,email,km,0,0.13601459652695985,0.04359991089329466,0.22842928216062675,0.13601459652695985,1005,0
590,19440,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,45426,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,hdbscan,2,0.045897378777752976,0.01584119204970173,0.07595356550580445,0.045897378777752976,1005,0
676,25015,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,50915,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,hdbscan,0,0.08628895324373158,0.01801737580752952,0.1545605306799336,0.08628895324373158,1005,0
676,25015,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,50915,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,hdbscan,0,0.08628895324373158,0.01801737580752952,0.1545605306799336,0.08628895324373158,1005,0
694,33683,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,59565,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,hdbscan,0,0.1323841347632839,0.02316675329818569,0.24160151622838227,0.1323841347632839,1005,0
803,31860,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,57633,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,1,0.1251050009370348,0.02147273582337069,0.22873726605069936,0.1251050009370348,1005,0
866,24032,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,49742,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,0,0.18648120449635255,0.008238409940348008,0.36472399905235797,0.18648120449635255,1005,0
891,24921,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,50606,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,1,0.20003313213605037,0.008002772208608705,0.3920634920634925,0.20003313213605037,1005,0
916,61680,26576,-1,hdbscan#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,87340,2.0,29,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,1,0.1788510892587526,0.04763347441894995,0.31006870409855425,0.1788510892587526,1005,0
